date,day_he,time_session,ticker,sec_type,qty,exit_price,multiplier,proceeds_usd,net_pnl_usd,premium_paid_usd,entry_price,pct_of_premium,hold_minutes,commission_usd
2026-09-13,ראשון,18:06,CL,FUT,3,102.75,1000,308250.0,-134.16,308384.16,102.7947,-0.000435,0.3,7.08
2026-09-13,ראשון,18:06,CL,FUT,1,102.81,1000,102810.0,15.28,102794.72,102.7947,0.000149,0.3,2.36
2026-09-13,ראשון,18:21,CL,FUT,1,102.81,1000,102810.0,-444.72,103254.72,103.2547,-0.004307,11.1,2.36
2026-09-13,ראשון,18:21,CL,FUT,1,102.84,1000,102840.0,-414.72,103254.72,103.2547,-0.004016,11.1,2.36
2026-09-14,שני,11:06,CL,FUT,1,102.14,1000,102140.0,0.0,102140.0,102.14,0.0,,2.36
2026-09-14,שני,11:24,PLTR,OPT,70,0.25,100,1750.0,-190.84,1940.84,0.2773,-0.098327,10.2,18.98
2026-09-14,שני,11:31,MSFT,OPT,25,0.18,100,450.0,-531.39,981.39,0.3926,-0.541464,6.9,4.77
2026-09-14,שני,12:10,CL,FUT,1,102.17,1000,102170.0,-994.72,103164.72,103.1647,-0.009642,55.5,2.36
2026-09-14,שני,12:50,MSFT,OPT,3,0.73,100,219.0,143.17,75.83,0.2528,1.888089,6.1,0.47
2026-09-14,שני,12:52,MSFT,OPT,7,0.75,100,525.0,347.15,177.85,0.2541,1.951872,8.6,2.02
2026-09-14,שני,12:54,MSFT,OPT,30,0.38,100,1140.0,371.86,768.14,0.256,0.48411,10.4,14.55
2026-09-14,שני,14:42,IBIT,OPT,25,0.16,100,400.0,-40.38,440.38,0.1762,-0.091699,16.0,6.22
2026-09-14,שני,15:58,GOOGL,OPT,10,0.47,100,470.0,-35.55,505.55,0.5055,-0.070317,0.8,2.88
2026-09-15,שלישי,06:38,CL,FUT,2,103.22,1000,206440.0,-1089.44,207529.44,103.7647,-0.00525,141.5,4.72
2026-09-15,שלישי,08:47,CL,FUT,1,102.06,1000,102060.0,-954.72,103014.72,103.0147,-0.009268,16.1,2.36
2026-09-15,שלישי,09:34,IBIT,OPT,125,0.06,100,750.0,-1462.14,2212.14,0.177,-0.660963,1148.5,38.32
2026-09-15,שלישי,09:34,MSTR,OPT,30,0.2,100,600.0,-1126.15,1726.15,0.5754,-0.652405,1383.0,8.13
2026-09-15,שלישי,09:46,GOOGL,OPT,70,0.24,100,1680.0,-1859.32,3539.32,0.5056,-0.525333,,18.93
2026-09-15,שלישי,09:48,CL,FUT,1,103.28,1000,103280.0,1470.28,101809.72,101.8097,0.014441,48.5,2.36
2026-09-15,שלישי,10:06,META,OPT,23,0.56,100,1288.0,-546.36,1834.36,0.7975,-0.297847,21.6,11.21
2026-09-15,שלישי,10:06,META,OPT,2,0.57,100,114.0,-45.14,159.14,0.7957,-0.283659,21.6,0.61
2026-09-15,שלישי,10:09,WIX,OPT,15,0.4,100,600.0,-1350.82,1950.82,1.3005,-0.692437,1400.9,1.71
2026-09-15,שלישי,10:27,ES,FOP,5,3.45,50,862.5,-339.1,1201.6,4.8064,-0.282207,4.5,7.05
2026-09-15,שלישי,10:42,NQ,FUT,1,29280.25,20,585605.0,0.0,585605.0,29280.25,0.0,,2.24
2026-09-15,שלישי,10:57,CRWD,OPT,25,0.48,100,1200.0,-763.47,1963.47,0.7854,-0.388838,70.0,6.79
