date,day_he,time_session,ticker,sec_type,qty,exit_price,multiplier,proceeds_usd,net_pnl_usd,premium_paid_usd,entry_price,pct_of_premium,hold_minutes,commission_usd
2026-09-15,שלישי,10:59,CL,FOP,8,0.24,1000,1920.0,-197.76,2117.76,0.2647,-0.093382,21.3,18.88
2026-09-15,שלישי,11:40,CL,FOP,10,0.05,1000,500.0,-1247.2,1747.2,0.1747,-0.713828,39.6,23.6
2026-09-15,שלישי,11:41,CL,FUT,2,104.31,1000,208620.0,3045.56,205574.44,102.7872,0.014815,39.4,4.72
2026-09-15,שלישי,14:57,CL,FOP,1,0.04,1000,40.0,-84.72,124.72,0.1247,-0.679282,164.9,2.36
2026-09-15,שלישי,15:46,QCOM,OPT,35,0.27,100,945.0,-513.61,1458.61,0.4167,-0.352121,112.0,14.25
2026-09-15,שלישי,21:41,CL,FUT,2,105.14,1000,210280.0,-389.44,210669.44,105.3347,-0.001849,537.1,4.72
2026-09-16,רביעי,02:48,CL,FUT,2,104.15,1000,208300.0,-1069.44,209369.44,104.6847,-0.005108,812.8,4.72
2026-09-16,רביעי,04:21,CL,FUT,2,104.28,1000,208560.0,-609.44,209169.44,104.5847,-0.002914,905.5,4.72
2026-09-16,רביעי,04:40,CL,FUT,1,104.7,1000,104700.0,-54.72,104754.72,104.7547,-0.000522,924.2,2.36
2026-09-16,רביעי,06:07,CL,FUT,1,103.8,1000,103800.0,-954.72,104754.72,104.7547,-0.009114,1011.9,2.36
2026-09-16,רביעי,09:32,INTC,OPT,2,0.27,100,54.0,2.42,51.58,0.2579,0.046946,2.3,1.04
2026-09-16,רביעי,09:33,CVX,OPT,30,0.25,100,750.0,-952.31,1702.31,0.5674,-0.559423,1392.5,14.29
2026-09-16,רביעי,09:36,INTC,OPT,23,0.2,100,460.0,-131.82,591.82,0.2573,-0.222731,6.0,10.67
2026-09-16,רביעי,09:37,INTC,OPT,10,0.22,100,220.0,-36.64,256.64,0.2566,-0.142761,7.4,3.96
2026-09-16,רביעי,09:39,CL,FUT,2,103.55,1000,207100.0,-1289.44,208389.44,104.1947,-0.006188,1223.5,4.72
2026-09-16,רביעי,09:43,AAPL,OPT,80,0.13,100,1040.0,-697.59,1737.59,0.2172,-0.401469,11.7,36.2
2026-09-16,רביעי,09:48,INTC,OPT,70,0.12,100,840.0,-948.62,1788.62,0.2555,-0.530363,17.4,23.56
2026-09-16,רביעי,09:57,SPCX,OPT,30,0.54,100,1620.0,164.28,1455.72,0.4852,0.11285,7.4,2.62
2026-09-16,רביעי,14:58,NQ,FUT,1,29242.5,20,584850.0,0.0,584850.0,29242.5,0.0,,2.24
2026-09-16,רביעי,15:32,ES,FOP,6,5.8,50,1740.0,-226.92,1966.92,6.5564,-0.115368,23.3,8.46
2026-09-16,רביעי,15:45,CRWD,OPT,25,0.38,100,950.0,-896.21,1846.21,0.7385,-0.485432,1721.8,13.06
2026-09-16,רביעי,15:46,SMCI,OPT,100,0.07,100,700.0,-765.38,1465.38,0.1465,-0.52231,149.0,54.5
2026-09-17,חמישי,04:13,NQ,FUT,1,29502.25,20,590045.0,-214.48,590259.48,29512.974,-0.000363,16.1,2.24
2026-09-17,חמישי,09:31,NQ,FUT,1,29695.75,20,593915.0,2695.52,591219.48,29560.974,0.004559,247.9,2.24
2026-09-17,חמישי,09:38,TSLA,OPT,45,0.19,100,855.0,-567.83,1422.83,0.3162,-0.399084,8.1,17.23
2026-09-17,חמישי,09:39,IREN,OPT,1,0.05,100,5.0,-12.16,17.16,0.1716,-0.7087,7.0,1.04
2026-09-17,חמישי,09:41,IREN,OPT,99,0.02,100,198.0,-1421.13,1619.13,0.1635,-0.877712,9.5,22.48
2026-09-17,חמישי,09:44,NVDA,OPT,30,0.19,100,570.0,-143.47,713.47,0.2378,-0.201086,2.9,7.47
2026-09-17,חמישי,10:25,TSLA,OPT,50,0.23,100,1150.0,-575.69,1725.69,0.3451,-0.3336,28.2,27.55
2026-09-17,חמישי,10:27,MU,OPT,22,0.46,100,1012.0,-365.08,1377.08,0.6259,-0.265113,53.7,10.45
2026-09-17,חמישי,10:39,INTC,OPT,40,0.18,100,720.0,-96.32,816.32,0.2041,-0.117989,10.8,9.83
2026-09-17,חמישי,10:46,NVDA,OPT,70,0.23,100,1610.0,116.62,1493.38,0.2133,0.078095,61.8,10.65
2026-09-17,חמישי,11:12,INTC,OPT,60,0.19,100,1140.0,-272.61,1412.61,0.2354,-0.19298,27.0,8.01
2026-09-17,חמישי,11:12,INTC,OPT,20,0.48,100,960.0,-34.34,994.34,0.4972,-0.03454,43.4,9.21
2026-09-17,חמישי,11:47,SMCI,OPT,100,0.1,100,1000.0,-352.43,1352.43,0.1352,-0.260588,67.2,25.7
2026-09-17,חמישי,12:25,MRNA,OPT,25,0.19,100,475.0,-788.84,1263.84,0.5055,-0.62416,78.0,10.41
2026-09-17,חמישי,12:52,HPE,OPT,6,0.12,100,72.0,-46.31,118.31,0.1972,-0.391423,7.2,1.72
2026-09-17,חמישי,12:52,HPE,OPT,16,0.13,100,208.0,-107.49,315.49,0.1972,-0.340709,6.7,4.59
2026-09-17,חמישי,12:53,HPE,OPT,38,0.14,100,532.0,-208.63,740.63,0.1949,-0.28169,7.8,2.24
2026-09-17,חמישי,13:03,GOOGL,OPT,40,0.3,100,1200.0,-572.82,1772.82,0.4432,-0.323112,104.9,15.05
2026-09-17,חמישי,13:07,OKLO,OPT,10,1,100,1000.0,670.69,329.31,0.3293,2.03667,110.1,5.24
2026-09-17,חמישי,13:08,OKLO,OPT,30,1,100,3000.0,2017.8,982.2,0.3274,2.054363,111.3,9.98
2026-09-17,חמישי,13:32,CL,FOP,10,0.14,1000,1400.0,-447.2,1847.2,0.1847,-0.242096,2468.5,23.6
2026-09-17,חמישי,14:57,INTC,OPT,44,0.18,100,792.0,-743.28,1535.28,0.3489,-0.484134,139.2,16.68
2026-09-17,חמישי,15:30,MSTR,OPT,45,0.23,100,1035.0,-455.29,1490.29,0.3312,-0.305504,158.0,12.2
2026-09-17,חמישי,15:47,META,OPT,2,0.41,100,82.0,-4.85,86.85,0.4343,-0.055846,0.4,0.54
2026-09-17,חמישי,15:47,META,OPT,20,0.75,100,1500.0,28.36,1471.64,0.7358,0.019268,7.1,6.3
2026-09-17,חמישי,15:53,NVO,OPT,100,0.09,100,900.0,-602.2,1502.2,0.1502,-0.400878,34.6,50.01
2026-09-17,חמישי,15:58,AAPL,OPT,35,0.32,100,1120.0,-161.32,1281.32,0.3661,-0.125904,25.5,5.39
2026-09-17,חמישי,18:09,CL,FUT,2,101.06,1000,202120.0,190.56,201929.44,100.9647,0.000944,2121.6,4.72
2026-09-18,שישי,02:37,MNQ,FUT,1,29908.5,2,59817.0,4.78,59812.22,29906.11,8e-05,1.0,0.61
2026-09-18,שישי,04:29,NQ,FUT,1,29899.25,20,597985.0,925.52,597059.48,29852.974,0.00155,149.5,2.24
2026-09-18,שישי,04:30,ES,FOP,10,2.05,50,1025.0,-203.2,1228.2,2.4564,-0.165445,108.0,14.1
2026-09-18,שישי,05:40,NQ,FOP,16,3.3,20,1056.0,-749.12,1805.12,5.641,-0.414997,68.1,22.56
2026-09-18,שישי,07:17,NQ,FUT,1,29830.25,20,596605.0,-734.48,597339.48,29866.974,-0.00123,58.2,2.24
2026-09-18,שישי,08:05,CL,FUT,2,95.69,1000,191380.0,-1129.44,192509.44,96.2547,-0.005867,2085.5,4.72
2026-09-18,שישי,09:33,META,OPT,30,0.21,100,630.0,-671.91,1301.91,0.434,-0.516094,1066.0,8.13
2026-09-18,שישי,09:55,MSTR,OPT,15,1.49,100,2235.0,1551.41,683.59,0.4557,2.269483,19.2,4.34
2026-09-18,שישי,10:00,HOOD,OPT,10,1.48,100,1480.0,1201.09,278.91,0.2789,4.306418,1080.3,3.73
2026-09-18,שישי,10:04,HOOD,OPT,23,1.3,100,2990.0,2345.62,644.38,0.2802,3.640084,1084.4,11.47
2026-09-18,שישי,10:04,HOOD,OPT,2,1.32,100,264.0,208.32,55.68,0.2784,3.74164,1084.6,0.64
2026-09-18,שישי,10:35,SNDK,OPT,13,0.95,100,1235.0,-127.24,1362.24,1.0479,-0.093407,40.1,5.2
2026-09-18,שישי,10:42,MSTR,OPT,5,2.56,100,1280.0,1051.92,228.08,0.4562,4.612169,66.4,1.66
2026-09-18,שישי,10:43,MSTR,OPT,8,2.53,100,2024.0,1659.27,364.73,0.4559,4.549328,67.3,2.46
2026-09-18,שישי,10:43,MSTR,OPT,2,2.57,100,514.0,422.38,91.62,0.4581,4.610123,66.7,1.05
2026-09-18,שישי,11:06,SNDK,OPT,20,0.35,100,700.0,-703.27,1403.27,0.7016,-0.501165,12.6,6.48
2026-09-18,שישי,12:01,HOOD,OPT,59,0.29,100,1711.0,-40.74,1751.74,0.2969,-0.023254,105.6,10.16
2026-09-18,שישי,12:01,HOOD,OPT,1,0.3,100,30.0,0.13,29.87,0.2987,0.004441,105.6,0.35
2026-09-18,שישי,12:04,CL,FOP,12,0.03,1000,360.0,-656.64,1016.64,0.0847,-0.645892,1298.9,28.32
2026-09-18,שישי,12:05,CL,FOP,8,0.03,1000,240.0,-437.76,677.76,0.0847,-0.645892,189.2,18.88
2026-09-18,שישי,12:29,CL,FUT,2,96.25,1000,192500.0,-609.44,193109.44,96.5547,-0.003156,180.9,4.72
2026-09-18,שישי,13:18,SNDK,OPT,20,0.45,100,900.0,-797.55,1697.55,0.8488,-0.469825,25.7,-12.81
2026-09-18,שישי,13:19,HOOD,OPT,25,0.26,100,650.0,-143.21,793.21,0.3173,-0.180549,48.9,7.07
2026-09-18,שישי,13:21,MSTR,OPT,25,0.36,100,900.0,400.0,500.0,0.2,0.800003,209.7,13.36
2026-09-18,שישי,13:23,HOOD,OPT,35,0.21,100,735.0,-374.23,1109.23,0.3169,-0.337381,53.7,8.63
2026-09-18,שישי,14:41,MSTR,OPT,75,0.56,100,4200.0,2709.62,1490.38,0.1987,1.818067,290.0,30.46
2026-09-18,שישי,15:29,MU,OPT,10,0.33,100,330.0,-108.07,438.07,0.4381,-0.246702,46.8,2.99
2026-09-18,שישי,15:46,IBIT,OPT,65,0.13,100,845.0,-130.8,975.8,0.1501,-0.134041,20.6,34.78
